,COMMAND_Sym_Link,url,CMD_MD5SUM,CMD_SHA256SUM,ORIGINAL_FILE_NAME,FILE_NAME,SAMPLE_FLUID_TYPE,BATCH,FULL_REDCAP_ID,,PRIVATE_ID,visit_number,visit_interval,Type,MODE,body_site,fma_body_site,format,visit_id,SAMPLE_PARENT_ID,SAMPLE_PARENT_OSDF_ID,sample_name_id,rand_subject_id,CONSENTED?,interval,sub-study,tags,storage_duration,comment,title,center,sequencing_contact,experiment_type,study,prep_id,md5,size,sha256
252,ln -s /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B2_1636-69-027_V2_RPLC_pos.mzXML /srv/gsfs0/projects/iPoP/HMP2_data_submission/host_metabolome/Plasma_B2_ZN0JE53_02_RPLC_pos.mzXML,/srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B2_1636-69-027_V2_RPLC_pos.mzXML,md5sum /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B2_1636-69-027_V2_RPLC_pos.mzXML,sha256sum /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B2_1636-69-027_V2_RPLC_pos.mzXML,Plasma_B2_1636-69-027_V2_RPLC_pos.mzXML,Plasma_B2_ZN0JE53_02_RPLC_pos.mzXML,Plasma,B2,1636-69-027,2,69-027-02,2,85,RPLC,pos,blood,FMA:7842,mzXML,ZN0JE53-02_2_85,ZN0JE53-02_blood,aed6c7330536c3e0dfc966c85c2bcc59,Plasma_B2_ZN0JE53_02_RPLC_pos,ZN0JE53,TRUE,85,Healthy v. Sick,,1,,iHMP - T2D - Metabolomics,Stanford,Wenyu Zhou,,prediabetes,,5aaeb4cdf01e463febb442ca1b3d70b7,55110348,766085d4c9b28a1c00fbd383e6044dd8edf3b06876d0a52ef5e527e2a1fbe7df
384,ln -s /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Urine_B1_1636-69-027_V2_RPLC_pos.mzXML /srv/gsfs0/projects/iPoP/HMP2_data_submission/host_metabolome/Urine_B1_ZN0JE53_02_RPLC_pos.mzXML,/srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Urine_B1_1636-69-027_V2_RPLC_pos.mzXML,md5sum /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Urine_B1_1636-69-027_V2_RPLC_pos.mzXML,sha256sum /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Urine_B1_1636-69-027_V2_RPLC_pos.mzXML,Urine_B1_1636-69-027_V2_RPLC_pos.mzXML,Urine_B1_ZN0JE53_02_RPLC_pos.mzXML,Urine,B1,1636-69-027,2,69-027-02,2,85,RPLC,pos,urinary_tract,FMA:326482,mzXML,ZN0JE53-02_2_85,ZN0JE53-02_urine,aed6c7330536c3e0dfc966c85c2837e8,Urine_B1_ZN0JE53_02_RPLC_pos,ZN0JE53,TRUE,85,Healthy v. Sick,,1,,iHMP - T2D - Metabolomics,Stanford,Wenyu Zhou,,prediabetes,,48fc134ae482404edae401327adbecee,75049632,0859ecbf5ab7f54a7122b103f4d052bc875c54214d9ddf6fe9c2a8f252c7cdfb
9,ln -s /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B1_1636-69-027_V3_HILIC_neg.mzXML /srv/gsfs0/projects/iPoP/HMP2_data_submission/host_metabolome/Plasma_B1_ZN0JE53_03_HILIC_neg.mzXML,/srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B1_1636-69-027_V3_HILIC_neg.mzXML,md5sum /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B1_1636-69-027_V3_HILIC_neg.mzXML,sha256sum /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B1_1636-69-027_V3_HILIC_neg.mzXML,Plasma_B1_1636-69-027_V3_HILIC_neg.mzXML,Plasma_B1_ZN0JE53_03_HILIC_neg.mzXML,Plasma,B1,1636-69-027,3,69-027-03,3,183,HILIC,neg,blood,FMA:7842,mzXML,ZN0JE53-03_3_183,ZN0JE53-03_blood,aed6c7330536c3e0dfc966c85c2bdc90,Plasma_B1_ZN0JE53_03_HILIC_neg,ZN0JE53,TRUE,183,Healthy v. Sick,,1,,iHMP - T2D - Metabolomics,Stanford,Wenyu Zhou,,prediabetes,,2aa2e3138c572e3c5925ee31278a2ed9,38543170,d330be2e79dc4c8c0d01ddd64e1b04ff9af4c52e60bf37f95f473c6588fb0f20
253,ln -s /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B2_1636-69-027_V3_HILIC_neg.mzXML /srv/gsfs0/projects/iPoP/HMP2_data_submission/host_metabolome/Plasma_B2_ZN0JE53_03_HILIC_neg.mzXML,/srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B2_1636-69-027_V3_HILIC_neg.mzXML,md5sum /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B2_1636-69-027_V3_HILIC_neg.mzXML,sha256sum /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B2_1636-69-027_V3_HILIC_neg.mzXML,Plasma_B2_1636-69-027_V3_HILIC_neg.mzXML,Plasma_B2_ZN0JE53_03_HILIC_neg.mzXML,Plasma,B2,1636-69-027,3,69-027-03,3,183,HILIC,neg,blood,FMA:7842,mzXML,ZN0JE53-03_3_183,ZN0JE53-03_blood,aed6c7330536c3e0dfc966c85c2be2c8,Plasma_B2_ZN0JE53_03_HILIC_neg,ZN0JE53,TRUE,183,Healthy v. Sick,,1,,iHMP - T2D - Metabolomics,Stanford,Wenyu Zhou,,prediabetes,,9d6ece3fc88d6a6caac59e6ca6aae20a,43150114,d0a9bfb9bffb3218054b87da5abdd5c354af96bcfd2999f9ac06dc0d6cc414b1
385,ln -s /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Urine_B1_1636-69-027_V3_HILIC_neg.mzXML /srv/gsfs0/projects/iPoP/HMP2_data_submission/host_metabolome/Urine_B1_ZN0JE53_03_HILIC_neg.mzXML,/srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Urine_B1_1636-69-027_V3_HILIC_neg.mzXML,md5sum /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Urine_B1_1636-69-027_V3_HILIC_neg.mzXML,sha256sum /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Urine_B1_1636-69-027_V3_HILIC_neg.mzXML,Urine_B1_1636-69-027_V3_HILIC_neg.mzXML,Urine_B1_ZN0JE53_03_HILIC_neg.mzXML,Urine,B1,1636-69-027,3,69-027-03,3,183,HILIC,neg,urinary_tract,FMA:326482,mzXML,ZN0JE53-03_3_183,ZN0JE53-03_urine,aed6c7330536c3e0dfc966c85c283ab9,Urine_B1_ZN0JE53_03_HILIC_neg,ZN0JE53,TRUE,183,Healthy v. Sick,,1,,iHMP - T2D - Metabolomics,Stanford,Wenyu Zhou,,prediabetes,,ef32feeb484522f5555ae99bfa29fa8d,39572446,61bac3a4a828912d8633ccc1c12b3cbbbe29cf656132b37571029fd5f4c0460b
10,ln -s /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B1_1636-69-027_V3_HILIC_pos.mzXML /srv/gsfs0/projects/iPoP/HMP2_data_submission/host_metabolome/Plasma_B1_ZN0JE53_03_HILIC_pos.mzXML,/srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B1_1636-69-027_V3_HILIC_pos.mzXML,md5sum /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B1_1636-69-027_V3_HILIC_pos.mzXML,sha256sum /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B1_1636-69-027_V3_HILIC_pos.mzXML,Plasma_B1_1636-69-027_V3_HILIC_pos.mzXML,Plasma_B1_ZN0JE53_03_HILIC_pos.mzXML,Plasma,B1,1636-69-027,3,69-027-03,3,183,HILIC,pos,blood,FMA:7842,mzXML,ZN0JE53-03_3_183,ZN0JE53-03_blood,aed6c7330536c3e0dfc966c85c2bf19f,Plasma_B1_ZN0JE53_03_HILIC_pos,ZN0JE53,TRUE,183,Healthy v. Sick,,1,,iHMP - T2D - Metabolomics,Stanford,Wenyu Zhou,,prediabetes,,fe1b8e46dab4fb229b2239484d6286e6,55088936,eabf2376fcff8015694b90c2be491316861765f6cb0ca2c7783f32c775eda586
254,ln -s /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B2_1636-69-027_V3_HILIC_pos.mzXML /srv/gsfs0/projects/iPoP/HMP2_data_submission/host_metabolome/Plasma_B2_ZN0JE53_03_HILIC_pos.mzXML,/srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B2_1636-69-027_V3_HILIC_pos.mzXML,md5sum /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B2_1636-69-027_V3_HILIC_pos.mzXML,sha256sum /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B2_1636-69-027_V3_HILIC_pos.mzXML,Plasma_B2_1636-69-027_V3_HILIC_pos.mzXML,Plasma_B2_ZN0JE53_03_HILIC_pos.mzXML,Plasma,B2,1636-69-027,3,69-027-03,3,183,HILIC,pos,blood,FMA:7842,mzXML,ZN0JE53-03_3_183,ZN0JE53-03_blood,aed6c7330536c3e0dfc966c85c2bff09,Plasma_B2_ZN0JE53_03_HILIC_pos,ZN0JE53,TRUE,183,Healthy v. Sick,,1,,iHMP - T2D - Metabolomics,Stanford,Wenyu Zhou,,prediabetes,,358aa58255f6f419c9148078e639f322,51516730,48266cede423f270bf6bfa1c547485bd610a73bcd43385ca6bf3d33366b97786
386,ln -s /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Urine_B1_1636-69-027_V3_HILIC_pos.mzXML /srv/gsfs0/projects/iPoP/HMP2_data_submission/host_metabolome/Urine_B1_ZN0JE53_03_HILIC_pos.mzXML,/srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Urine_B1_1636-69-027_V3_HILIC_pos.mzXML,md5sum /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Urine_B1_1636-69-027_V3_HILIC_pos.mzXML,sha256sum /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Urine_B1_1636-69-027_V3_HILIC_pos.mzXML,Urine_B1_1636-69-027_V3_HILIC_pos.mzXML,Urine_B1_ZN0JE53_03_HILIC_pos.mzXML,Urine,B1,1636-69-027,3,69-027-03,3,183,HILIC,pos,urinary_tract,FMA:326482,mzXML,ZN0JE53-03_3_183,ZN0JE53-03_urine,aed6c7330536c3e0dfc966c85c284914,Urine_B1_ZN0JE53_03_HILIC_pos,ZN0JE53,TRUE,183,Healthy v. Sick,,1,,iHMP - T2D - Metabolomics,Stanford,Wenyu Zhou,,prediabetes,,fdd7668e94f39ee3cdc4aa1dc29d11f1,59322207,db3efa96a09c175bd488e340979bacb9510c01be0bd0baabfebff93cf637bb5d
11,ln -s /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B1_1636-69-027_V3_RPLC_neg.mzXML /srv/gsfs0/projects/iPoP/HMP2_data_submission/host_metabolome/Plasma_B1_ZN0JE53_03_RPLC_neg.mzXML,/srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B1_1636-69-027_V3_RPLC_neg.mzXML,md5sum /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B1_1636-69-027_V3_RPLC_neg.mzXML,sha256sum /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B1_1636-69-027_V3_RPLC_neg.mzXML,Plasma_B1_1636-69-027_V3_RPLC_neg.mzXML,Plasma_B1_ZN0JE53_03_RPLC_neg.mzXML,Plasma,B1,1636-69-027,3,69-027-03,3,183,RPLC,neg,blood,FMA:7842,mzXML,ZN0JE53-03_3_183,ZN0JE53-03_blood,aed6c7330536c3e0dfc966c85c2c06f6,Plasma_B1_ZN0JE53_03_RPLC_neg,ZN0JE53,TRUE,183,Healthy v. Sick,,1,,iHMP - T2D - Metabolomics,Stanford,Wenyu Zhou,,prediabetes,,b100d1611c785e54557c9781f5ad9c67,44127796,54d1ce88bcffef5aea4a71ec4e03ddd50305809030927be7fe79838ef2e85fc7
255,ln -s /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B2_1636-69-027_V3_RPLC_neg.mzXML /srv/gsfs0/projects/iPoP/HMP2_data_submission/host_metabolome/Plasma_B2_ZN0JE53_03_RPLC_neg.mzXML,/srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B2_1636-69-027_V3_RPLC_neg.mzXML,md5sum /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B2_1636-69-027_V3_RPLC_neg.mzXML,sha256sum /srv/gsfs0/projects/iPoP/HMP2_data_submission/metabolome/Plasma_B2_1636-69-027_V3_RPLC_neg.mzXML,Plasma_B2_1636-69-027_V3_RPLC_neg.mzXML,Plasma_B2_ZN0JE53_03_RPLC_neg.mzXML,Plasma,B2,1636-69-027,3,69-027-03,3,183,RPLC,neg,blood,FMA:7842,mzXML,ZN0JE53-03_3_183,ZN0JE53-03_blood,aed6c7330536c3e0dfc966c85c2c1289,Plasma_B2_ZN0JE53_03_RPLC_neg,ZN0JE53,TRUE,183,Healthy v. Sick,,1,,iHMP - T2D - Metabolomics,Stanford,Wenyu Zhou,,prediabetes,,5d05da3461dea451d5d75d1d65747898,48205141,497ead436f59875a491d785552f5dcfa524f926bcee52c40c4bba3af88523617
